DATE,Dollar
2020-09-02,116.2711
2020-09-01,115.8031
2020-08-31,116.0063
2020-08-28,116.1841
2020-08-27,116.9201
2020-08-26,116.8967
2020-08-25,117.0923
2020-08-24,117.1816
2020-08-21,117.3256
2020-08-20,117.0834
2020-08-19,116.8223
2020-08-18,116.8187
2020-08-17,117.0104
2020-08-14,117.1945
2020-08-13,117.3842
2020-08-12,117.5319
2020-08-11,117.6454
2020-08-10,117.8521
2020-08-07,117.8948
2020-08-06,117.2969
2020-08-05,117.1295
2020-08-04,118.0501
2020-08-03,118.0667
2020-07-31,117.4439
2020-07-30,117.6306
2020-07-29,117.4352
2020-07-28,117.5406
2020-07-27,117.6119
2020-07-24,118.3721
2020-07-23,118.2989
2020-07-22,118.3706
2020-07-21,118.6523
2020-07-20,119.3195
2020-07-17,119.398
2020-07-16,119.1894
2020-07-15,119.2988
2020-07-14,119.6751
2020-07-13,119.4628
2020-07-10,119.6251
2020-07-09,119.7984
2020-07-08,119.8432
2020-07-07,119.8571
2020-07-06,119.5583
2020-07-02,120.1293
2020-07-01,120.3688
2020-06-30,120.7806
2020-06-29,120.9825
2020-06-26,120.84
2020-06-25,120.5907
2020-06-24,120.254
2020-06-23,119.5773
2020-06-22,120.0137
2020-06-19,120.4987
2020-06-18,120.4938
2020-06-17,120.1662
2020-06-16,119.8063
2020-06-15,120.2113
2020-06-12,119.9045
2020-06-11,119.4767
2020-06-10,118.7273
2020-06-09,118.7803
2020-06-08,118.8464
2020-06-05,118.9991
2020-06-04,119.5029
2020-06-03,119.4463
2020-06-02,119.8986
2020-06-01,120.5006
2020-05-29,121.1961
2020-05-28,121.2535
2020-05-27,121.8104
2020-05-26,121.6367
2020-05-22,122.6145
2020-05-21,122.3933
2020-05-20,122.4192
2020-05-19,122.8967
2020-05-18,123.1281
2020-05-15,123.9665
2020-05-14,124.0193
2020-05-13,123.9191
2020-05-12,123.4178
2020-05-11,123.5887
2020-05-08,122.8687
2020-05-07,123.4701
2020-05-06,123.9603
2020-05-05,123.1318
2020-05-04,123.5655
2020-05-01,123.5068
2020-04-30,122.6491
2020-04-29,123.0892
2020-04-28,123.7119
2020-04-27,124.2471
2020-04-24,124.5302
2020-04-23,124.1041
2020-04-22,124.2731
2020-04-21,124.2542
2020-04-20,123.4234
2020-04-17,123.1803
2020-04-16,123.779
2020-04-15,123.3921
2020-04-14,122.399
2020-04-13,122.8161
2020-04-10,122.4474
2020-04-09,122.7669
2020-04-08,123.5304
2020-04-07,123.4167
2020-04-06,124.4982
2020-04-03,124.7604
2020-04-02,123.9055
2020-04-01,124.1125
2020-03-31,122.8165
2020-03-30,123.5999
2020-03-27,122.6878
2020-03-26,122.7066
2020-03-25,125.143
2020-03-24,125.8805
2020-03-23,126.5236
2020-03-20,125.276
2020-03-19,125.4168
2020-03-18,124.5194
2020-03-17,122.7976
2020-03-16,121.2149
2020-03-13,120.6724
2020-03-12,120.7311
2020-03-11,118.4291
2020-03-10,118.0727
2020-03-09,117.3353
2020-03-06,116.8384
2020-03-05,116.91
2020-03-04,116.8862
2020-03-03,116.5767
2020-03-02,116.9083
2020-02-28,117.7464
2020-02-27,117.4354
2020-02-26,117.4554
2020-02-25,117.2799
2020-02-24,117.4403
2020-02-21,117.0806
2020-02-20,117.2889
2020-02-19,116.8193
2020-02-18,116.633
2020-02-14,116.4476
2020-02-13,116.4335
2020-02-12,116.3182
