Date,Price,21
1894.04,188.51,
1894.05,181.49,
1894.06,179.02,
1894.07,175.31,
1894.08,176.78,
1894.09,177.10,
1894.1,176.46,
1894.11,176.46,
1894.12,177.37,
1895.01,175.31,
1895.02,172.83,
1895.03,172.83,
1895.04,172.75,
1895.05,179.74,
1895.06,180.77,
1895.07,184.03,
1895.08,189.35,
1895.09,190.54,
1895.1,187.77,
1895.11,181.44,
1895.12,173.18,
1896.01,173.62,
1896.02,183.56,
1896.03,180.67,
1896.04,185.00,
1896.05,186.91,
1896.06,186.29,
1896.07,174.22,
1896.08,164.30,
1896.09,172.93,
1896.1,171.61,
1896.11,178.09,
1896.12,171.58,
1897.01,176.63,
1897.02,174.96,
1897.03,175.37,
1897.04,172.47,
1897.05,175.95,
1897.06,184.14,
1897.07,192.33,
1897.08,195.93,
1897.09,199.63,
1897.1,195.98,
1897.11,189.07,
1897.12,193.13,
1898.01,198.42,
1898.02,195.22,
1898.03,186.40,
1898.04,183.20,
1898.05,182.38,
1898.06,202.84,
1898.07,206.55,
1898.08,214.28,
1898.09,213.87,
1898.1,209.40,
1898.11,216.31,
1898.12,226.49,
1899.01,243.73,
1899.02,246.02,
1899.03,249.53,
1899.04,249.23,
1899.05,238.85,
1899.06,230.35,
1899.07,235.18,
1899.08,238.04,
1899.09,226.63,
1899.1,222.77,
1899.11,224.22,
1899.12,206.43,
1900.01,209.18,
1900.02,210.41,
1900.03,212.11,
1900.04,214.82,
1900.05,209.64,
1900.06,205.91,
1900.07,203.40,
1900.08,208.72,
1900.09,201.31,
1900.1,211.18,
1900.11,227.69,
1900.12,244.41,
1901.01,248.43,
1901.02,257.93,
1901.03,267.18,
1901.04,293.26,
1901.05,278.49,
1901.06,306.23,
1901.07,282.13,
1901.08,282.51,
1901.09,277.68,
1901.1,274.55,
1901.11,277.07,
1901.12,269.37,
1902.01,278.44,
1902.02,280.84,
1902.03,281.19,
1902.04,287.33,
1902.05,283.28,
1902.06,278.33,
1902.07,284.62,
1902.08,295.67,
1902.09,292.89,
1902.1,265.13,
1902.11,263.51,
1902.12,254.57,
1903.01,264.60,
1903.02,263.04,
1903.03,261.33,
1903.04,250.66,
1903.05,251.52,
1903.06,237.62,
1903.07,226.70,
1903.08,219.42,
1903.09,211.66,
1903.1,207.18,
1903.11,210.28,
1903.12,219.99,
1904.01,218.53,
1904.02,207.87,
1904.03,209.58,
1904.04,217.22,
1904.05,217.65,
1904.06,217.98,
1904.07,227.02,
1904.08,232.00,
1904.09,239.47,
1904.1,253.54,
1904.11,261.27,
1904.12,263.83,
1905.01,269.59,
1905.02,281.42,
1905.03,292.70,
1905.04,289.14,
1905.05,278.07,
1905.06,281.35,
1905.07,290.18,
1905.08,297.55,
1905.09,301.96,
1905.1,306.21,
1905.11,301.11,
1905.12,305.09,
1906.01,315.64,
1906.02,313.40,
1906.03,305.72,
1906.04,301.57,
1906.05,290.31,
1906.06,294.10,
1906.07,296.39,
1906.08,311.16,
1906.09,317.19,
1906.1,301.01,
1906.11,303.90,
1906.12,297.94,
1907.01,292.58,
1907.02,277.43,
1907.03,252.83,
1907.04,254.04,
1907.05,240.15,
1907.06,230.04,
1907.07,238.84,
1907.08,220.95,
1907.09,218.60,
1907.1,192.84,
1907.11,189.24,
1907.12,203.25,
1908.01,214.24,
1908.02,208.72,
1908.03,217.26,
1908.04,226.44,
1908.05,238.64,
1908.06,238.95,
1908.07,245.02,
1908.08,255.54,
1908.09,252.75,
1908.1,253.10,
1908.11,267.36,
1908.12,270.54,
1909.01,274.32,
1909.02,263.65,
1909.03,267.24,
1909.04,273.47,
1909.05,279.68,
1909.06,281.74,
1909.07,285.77,
1909.08,289.74,
1909.09,287.15,
1909.1,282.68,
1909.11,278.60,
1909.12,279.19,
1910.01,275.86,
1910.02,266.01,
1910.03,267.43,
1910.04,258.55,
1910.05,259.14,
1910.06,249.04,
1910.07,236.45,
1910.08,244.55,
1910.09,248.62,
1910.1,267.94,
1910.11,273.17,
1910.12,265.55,
1911.01,272.00,
1911.02,285.53,
1911.03,279.22,
1911.04,287.09,
1911.05,293.28,
1911.06,299.16,
1911.07,294.72,
1911.08,271.87,
1911.09,254.40,
1911.1,255.86,
1911.11,268.90,
1911.12,272.93,
1912.01,270.39,
1912.02,265.25,
1912.03,267.37,
1912.04,267.60,
1912.05,267.32,
1912.06,269.96,
1912.07,270.25,
1912.08,273.74,
1912.09,272.46,
1912.1,271.91,
1912.11,268.87,
1912.12,261.74,
1913.01,256.98,
1913.02,247.87,
1913.03,243.17,
1913.04,242.89,
1913.05,238.70,
1913.06,224.38,
1913.07,225.12,
1913.08,231.14,
1913.09,230.99,
1913.1,223.68,
1913.11,215.84,
1913.12,217.72,
1914.01,226.66,
1914.02,231.96,
1914.03,227.58,
1914.04,224.38,
1914.05,223.48,
1914.06,222.38,
1914.07,207.97,
1914.08,203.90,
1914.09,203.90,
1914.1,205.92,
1914.11,203.90,
1914.12,197.07,
1915.01,200.55,
1915.02,199.85,
1915.03,207.07,
1915.04,220.43,
1915.05,213.16,
1915.06,215.57,
1915.07,214.76,
1915.08,223.88,
1915.09,232.19,
1915.1,242.66,
1915.11,248.72,
1915.12,249.24,
1916.01,242.94,
1916.02,239.55,
1916.03,236.50,
1916.04,231.71,
1916.05,234.61,
1916.06,234.69,
1916.07,231.43,
1916.08,231.05,
1916.09,236.16,
1916.1,239.17,
1916.11,240.42,
1916.12,228.78,
1917.01,221.50,
1917.02,203.78,
1917.03,210.10,
1917.04,197.08,
1917.05,187.44,
1917.06,188.31,
1917.07,185.96,
1917.08,177.69,
1917.09,165.33,
1917.1,154.06,
1917.11,141.22,
1917.12,134.41,
1918.01,139.46,
1918.02,142.70,
1918.03,140.82,
1918.04,137.50,
1918.05,138.95,
1918.06,137.24,
1918.07,134.68,
1918.08,133.29,
1918.09,130.05,
1918.1,133.03,
1918.11,133.91,
1918.12,129.66,
1919.01,128.84,
1919.02,131.72,
1919.03,134.08,
1919.04,136.05,
1919.05,143.73,
1919.06,147.58,
1919.07,148.01,
1919.08,135.71,
1919.09,137.07,
1919.1,141.68,
1919.11,134.52,
1919.12,127.81,
1920.01,123.89,
1920.02,112.49,
1920.03,119.18,
1920.04,114.72,
1920.05,105.95,
1920.06,102.62,
1920.07,102.98,
1920.08,101.38,
1920.09,106.56,
1920.1,107.23,
1920.11,102.30,
1920.12,95.06,
1921.01,101.34,
1921.02,103.91,
1921.03,101.81,
1921.04,103.38,
1921.05,108.93,
1921.06,100.78,
1921.07,99.91,
1921.08,98.68,
1921.09,102.29,
1921.1,103.68,
1921.11,109.88,
1921.12,114.43,
1922.01,116.97,
1922.02,119.54,
1922.03,125.51,
1922.04,133.13,
1922.05,138.32,
1922.06,137.02,
1922.07,137.17,
1922.08,144.05,
1922.09,147.80,
1922.1,150.16,
