Date,M2SL,M1SL,M2SL_Percent,M1SL_Percent
2017-09-01,13718.7,3563.4,5.26,7.25
2017-10-01,13771.7,3601.2,5.08,8.13
2017-11-01,13806.1,3631.9,4.75,8.26
2017-12-01,13858.7,3618.9,4.83,8.18
2018-01-01,13876.1,3668.4,4.37,7.95
2018-02-01,13918.7,3633.9,4.14,6.53
2018-03-01,13975.1,3672.5,4.02,6.26
2018-04-01,14005.5,3653.6,3.80,5.90
2018-05-01,14070.6,3646.2,3.89,3.80
2018-06-01,14130.3,3644.7,4.12,3.52
2018-07-01,14159.4,3669.2,3.90,3.60
2018-08-01,14201.8,3682.7,3.84,2.86
2018-09-01,14232.4,3692.3,3.74,3.62
2018-10-01,14239.7,3721.5,3.40,3.34
2018-11-01,14258.3,3708.4,3.28,2.11
2018-12-01,14377.2,3771.2,3.74,4.21
2019-01-01,14446.8,3772.9,4.11,2.85
2019-02-01,14489.8,3783.4,4.10,4.11
2019-03-01,14536.7,3746.4,4.02,2.01
2019-04-01,14572.7,3770.6,4.05,3.20
2019-05-01,14672.5,3775.4,4.28,3.54
2019-06-01,14791.2,3813.4,4.68,4.63
2019-07-01,14862.1,3844.8,4.96,4.79
2019-08-01,14938.8,3844.0,5.19,4.38
2019-09-01,15030.1,3887.7,5.60,5.29
2019-10-01,15156.7,3926.1,6.44,5.50
2019-11-01,15254.4,3955.6,6.99,6.67
2019-12-01,15329.1,4011.2,6.62,6.36
2020-01-01,15410.0,4018.9,6.67,6.52
2020-02-01,15473.4,4027.6,6.79,6.45
2020-03-01,16014.3,4280.2,10.16,14.25
2020-04-01,17042.9,4773.3,16.95,26.59
2020-05-01,17893.0,16275.9,21.95,331.10
2020-06-01,18179.6,16601.7,22.91,335.35
2020-07-01,18320.0,16792.6,23.27,336.76
2020-08-01,18381.8,16906.0,23.05,339.80
2020-09-01,18605.0,17176.3,23.78,341.81
2020-10-01,18751.1,17367.1,23.71,342.35
2020-11-01,18960.2,17610.0,24.29,345.19
2020-12-01,19131.4,17834.7,24.80,344.62
2021-01-01,19396.5,18125.6,25.87,351.01
2021-02-01,19667.9,18416.7,27.11,357.26
2021-03-01,19914.0,18698.7,24.35,336.87
2021-04-01,20119.9,18946.4,18.05,296.92
2021-05-01,20371.9,19223.7,13.85,18.11
2021-06-01,20388.9,19268.1,12.15,16.06
